Module,Type,TC ID,Name / Title,Preconditions,Steps to be executed,Expected results,Priority,Test Type,Precondition Key,Test Set Key,,
,,3212,,Facebook is given permision to access camera,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,FTT-75,,,
,,3212,,Facebook is given permision to record audio,Click on any friend chat,chat window opens with Friend name as title.,,,FTT-77,,,
,,3212,,Facebook is given permision to record video,"Click on ""Camera"" icon",,,,FTT-79,,,
,,3212,,,Hold on the Button in the middle to record a video,,,,,,,
,,3212,,,"Click on ""Camera"" icon",,,,,,,
,,3212,,,Hold on the Button in the middle to record a video,,,,,,,
,,3212,,,Click Send Button in the upper right corner,Messages is sent,,,,,,
FR3: Messaging,Positive,3213,Send several photos in a chat using camera,App is Installed and Opened,Click on HOME icon,,LOW,Manual,FTT-72,FTT-277,,
,,3213,,Facebook is given permision to access camera,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,FTT-75,,,
,,3213,,Facebook is given permision to record audio,Click on any friend chat,chat window opens with Friend name as title.,,,FTT-77,,,
,,3213,,Facebook is given permision to record video,"Click on ""Camera"" Button",Camera is opened,,,FTT-79,,,
,,3213,,,Click on the Button in the middle to capture,,,,,,,
,,3213,,Facebook is given permision to record video,"Click on ""Camera"" Button",Camera is opened,,,FTT-79,,,
,,3213,,,Click on the Button in the middle to capture,,,,,,,
,,3213,,,"Click on the ""Done"" Button in the bottom right",Messages is sent,,,,,,
FR3: Messaging,Positive,3214,Send a sticker to a friend in a chat,App is Installed and Opened,Click on HOME icon,,HIGH,Manual,FTT-72,FTT-277,,
,,3214,,,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,,,,
,,3214,,,Click on any friend chat,chat window opens with Friend name as title.,,,,,,
,,3214,,,"Click on ""emoji"" Button","Side window is opened with 3 tabs (Stickers, GIFs, Emojis)",,,,,,
,,3214,,,Select Stickers,,,,,,,
,,3214,,,Choose Type of Sticker ex Working,,,,,,,
,,3214,,,Click on Sticker,Sticker is sent,,,,,,
FR3: Messaging,Positive,3215,Send a GIF to a friend in a chat,App is Installed and Opened,Click on HOME icon,,HIGH,Manual,FTT-72,FTT-277,,
,,3215,,,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,,,,
,,3215,,,Click on any friend chat,chat window opens with Friend name as title.,,,,,,
,,3215,,,"Click on ""emoji"" Button","Side window is opened with 3 tabs (Stickers, GIFs, Emojis)",,,,,,
,,3215,,,"Select ""GIF""",,,,,,,
,,3215,,,Click on GIF,GIF is sent,,,,,,
FR3: Messaging,Positive,3216,Send a Emoji to a friend in a chat,App is Installed and Opened,Click on HOME icon,,HIGH,Manual,FTT-72,FTT-277,,
,,3216,,,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,,,,
,,3216,,,Click on any friend chat,chat window opens with Friend name as title.,,,,,,
,,3216,,,"Click on ""emoji"" Button","Side window is opened with 3 tabs (Stickers, GIFs, Emojis)",,,,,,
,,3216,,,"Select ""Emoji""",,,,,,,
,,3216,,,Click on emoji,emoji is sent,,,,,,
FR3: Messaging,Positive,3217,make a voice call to friend in chat,App is Installed and Opened,Click on HOME icon,,HIGH,Manual,FTT-72,FTT-277,,
,,3217,,Facebook is given permision to record audio,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,FTT-77,,,
,,3217,,,Click on any friend chat,chat window opens with Friend name as title.,,,,,,
,,3217,,,"Click on ""voice call"" Button in the upright",voice call starts,,,,,,
FR3: Messaging,Positive,3218,make a video call to friend in chat,App is Installed and Opened,Click on HOME icon,,HIGH,Manual,FTT-72,FTT-277,,
,,3218,,Facebook is given permision to access camera,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,FTT-75,,,
,,3218,,Facebook is given permision to record audio,Click on any friend chat,chat window opens with Friend name as title.,,,FTT-77,,,
,,3218,,Facebook is given permision to record video,"Click on ""video call"" Button in the upright",video call starts,,,FTT-79,,,
FR3: Messaging,Positive,3219,make a poll in a group chat,App is Installed and Opened,Click on HOME icon,,HIGH,Manual,FTT-72,FTT-277,,
,,3219,,,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,,,,
,,3219,,,Click on any group chat,chat window opens with Group name as title.,,,,,,
,,3219,,,"Click on ""poll"" icon","""Poll"" window pop-up with 2 fields (Poll Question , Options)",,,,,,
,,3219,,,Write Dummy Text in  Poll Question,,,,,,,
,,3219,,,Add at least 1 option,,,,,,,
,,3219,,,"Click ""Create poll""",Poll is created and sent to group,,,,,,
FR3: Messaging,Positive,3220,Block a member in a group chat,App is Installed and Opened,Click on HOME icon,,HIGH,Manual,FTT-72,FTT-277,,
,,3220,,,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,,,,
,,3220,,,Click on any group chat,chat window opens with Group name as title.,,,,,,
,,3220,,,Click on Group name,Group settings are opened,,,,,,
,,3220,,,"Click on ""Block a Member"" button"," ""Block a Member"" window is opened with all group members",,,,,,
,,3220,,,Click on the member you want to block,"""Block Member"" alert message pop-up with 2 options (cancel , block)",,,,,,
,,3220,,"""","click on ""BLOCK"" ",Member is blocked,,,,,,
FR3: Messaging,Positive,3221,Mute messages notifications a group chat,App is Installed and Opened,Click on HOME icon,,MEDIUM,Manual,FTT-72,FTT-277,,
,,3221,,,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,,,,
,,3221,,,Click on any group chat,chat window opens with Group name as title.,,,,,,
,,3221,,,Click on Group name,Group settings are opened,,,,,,
,,3221,,,"Click on ""Mute"" icon","""Mute notifications"" window pop-up with 3 options (Message notifications , Call notififcations , both)",,,,,,
,,3221,,,Click on Message notifications button ,"Mute notifications window pop-up with mute periods options (ex. For 15 mins till ""Untill I change it"")",,,,,,
,,3221,,,choose the period you want ti mute the group chat,Chat is muted,,,,,,
FR3: Messaging,Positive,3222,Mute messages notifications a group chat,App is Installed and Opened,Click on HOME icon,,MEDIUM,Manual,FTT-72,FTT-277,,
,,3222,,,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,,,,
,,3222,,,Click on any group chat,chat window opens with Group name as title.,,,,,,
,,3222,,,Click on Group name,Group settings are opened,,,,,,
,,3222,,,"Click on ""Unmute"" icon",Chat is unmuted,,,,,,
FR3: Messaging,Positive,3223,Add Member to group chat,App is Installed and Opened,Click on HOME icon,,MEDIUM,Manual,FTT-72,FTT-277,,
,,3223,,You're a group admin,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,,,,
,,3223,,,Click on any group chat,chat window opens with Group name as title.,,,,,,
,,3223,,,Click on Group name,Group settings are opened,,,,,,
,,3223,,,"Click on ""Add"" icon","""Choose Friends"" window pop-up",,,,,,
,,3223,,,Choose a friend,Friend is added,,,,,,
FR3: Messaging,Positive,3224,Archive a group chat,App is Installed and Opened,Click on HOME icon,,LOW,Manual,FTT-72,FTT-277,,
,,3224,,,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,,,,
,,3224,,,hold on any group chat,Group settings are opened,,,,,,
,,3224,,,"Click on ""Archive Thread""",Chat is archived,,,,,,
FR3: Messaging,Positive,3225,Change name of a group chat,App is Installed and Opened,Click on HOME icon,,MEDIUM,Manual,FTT-72,FTT-277,,
,,3225,,You're a group admin,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,,,,
,,3225,,,Click on any group chat,chat window opens with Group name as title.,,,,,,
,,3225,,,Click on Group name,Group settings are opened,,,,,,
,,3225,,,"Click on ""3 dots"" icon in the upright corner","""Change Chat Name"" option pops-up",,,,,,
,,3225,,,"Click on ""Change Chat Name""",,,,,,,
,,3225,,,Enter the new chat name,,,,,,,
,,3225,,,Click on Save,Chat name is changed,,,,,,
FR3: Messaging,Positive,3226,Leave a group chat,App is Installed and Opened,Click on HOME icon,,MEDIUM,Manual,FTT-72,FTT-277,,
,,3226,,,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,,,,
,,3226,,,Click on any group chat,chat window opens with Group name as title.,,,,,,
,,3226,,,Click on Group name,Group settings are opened,,,,,,
,,3226,,,"Click on ""Leave Chat"" icon","""Leave Chat"" confirmation window pop-up with 2 options (Cancel , Leave)",,,,,,
,,3226,,,Click on Leave,Chat is leaved,,,,,,
FR3: Messaging,Negative,3301,Can't Send an empty text message,App is Installed and Opened,Click on HOME icon,,MEDIUM,Manual,FTT-72,FTT-278,,
,,3301,,,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,,,,
,,3301,,,Click on any friend chat,chat window opens with Friend name as title.,,,,,,
,,3301,,,Click on Message Textbox ,Keyboard pop-up,,,,,,
,,3301,,,Write nothing,,,,,,,
,,3301,,,Click on send button,send button isn't available,,,,,,
FR3: Messaging,Negative,3302,Can't Send Text which length is more than 20000 characters,App is Installed and Opened,Click on HOME icon,,MEDIUM,Manual,FTT-72,FTT-278,,
,,3302,,Facebook is given permision to access gallery,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,FTT-74,,,
,,3302,,,Click on any friend chat,chat window opens with Friend name as title.,,,,,,
,,3302,,,Write Test more than 20000 char length,,,,,,,
,,3302,,,Click on send button,send button isn't available,,,,,,
FR3: Messaging,Negative,3303,Can't Send a photo in a chat using camera without permission,App is Installed and Opened,Click on HOME icon,,LOW,Manual,FTT-72,FTT-278,,
,,3303,,,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,,,,
,,3303,,,Click on any friend chat,chat window opens with Friend name as title.,,,,,,
