Module,Type,TC ID,Name / Title,Preconditions,Steps to be executed,Expected results,Test Type,Precondition Key,Test Set Key,,
,,2220,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,,
,,2220,,,"Click on ""Story""",,,,,,
,,2220,,,"Click on ""Text"" option","Blank window witth blue background and ""Start typing"" Text opens by default",,,,,
,,2220,,,Write text,,,,,,
,,2220,,,Click Done button in the upper right corner,,,,,,
,,2220,,,"click on ""back"" button","""Discard story"" window is opened",,,,,
,,2220,,,"Click ""Discard story"" button in the lower right corner","Back to ""Create Story"" window",,,,,
FR2: Adding Stories,Positive,2221,Save a story with one photo from gallery and add music to it ,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-219,,
,,2221,,Facebook is given permision to access gallery,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-74,,,
,,2221,,,"Click on ""Story""",,,,,,
,,2221,,,Choose the photo you want,window with the photo as background opens by default,,,,,
,,2221,,,"click on the ""Music"" icon in the right",a pop-up window with suggested music and search bar is opened,,,,,
,,2221,,,choose a song,,,,,,
,,2221,,,Click Save button in the lower left corner,Story is saved,,,,,
FR2: Adding Stories,Positive,2222,Add a story with one photo from gallery and add a GIF to it,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-219,,
,,2222,,Facebook is given permision to access gallery,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-74,,,
,,2222,,,"Click on ""Story""",,,,,,
,,2222,,,Choose the photo you want,window with the photo as background opens by default,,,,,
,,2222,,,"click on the ""sticker"" icon in the right",a pop-up window with suggested stickers is opened,,,,,
,,2222,,,Click on the GIF sticker,,,,,,
,,2222,,,choose the GIF,,,,,,
,,2222,,,Click Share button in the lower right corner,Story is added,,,,,
FR2: Adding Stories,Negative,2301,Cant add a story with no test or attachments,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-220,,
,,2301,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,,
,,2301,,,"Click on ""Story""",,,,,,
,,2301,,,"Click on ""Text"" option","Blank window witth blue background and ""Start typing"" Text opens by default",,,,,
,,2301,,,Click Done button in the upper right corner,"""Done"" button is not avaialble ",,,,,
FR2: Adding Stories,Negative,2302,Can't Add a story with one photo using camera without permission,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-220,,
